Survey_type,StudentID,Duration,Q1_1,Q1_2,Q1_score,Q2_1,Q2_2,Q2_score,Q3_1,Q3_2,Q3_score,Q4_1,Q4_2,Q4_score,Q5_1,Q5_2,Q5_score,Q6_1,Q6_2,Q6_score,Q1_1_n,Q2_1_n,Q3_1_n,Q4_1_n,Q5_1_n,Q6_1_n,CRT_1,CRT_2,CRT_3,CRT_1_knew,CRT_2_knew,CRT_3_knew,Age,Gender,Education
大学,2111140029,634,いいえ,合計人数をみると疾患はあまりかわらないといえる,2,賛成,ゲーム時間が多い人ほど暴力が多いという数値が大きくなっているのでこの数値は正しいといえる,1,賛成,都市は川の汚染が田舎の汚染よりも多いと考えており交通量も田舎よりもおおいから,1,賛成,出生率に比べて死亡率が上回っているのでこの説は正しいといえる,1,賛成,そこまで年々の大差はないが犯罪件数は増加していることは確かなので賛成である。,1,はい,日活動的と活動的な生活の人数をみると人数は大差はないがアレルギーの数値の大差がおおきいので日活動的な生活は皮膚アレルギーを起こすと思う。,1,0,1,1,1,1,1,,,,,,,,,
大学,2111140006,2301,はい,喫煙者数150人に対し、肺疾患ありの人は6割。肺疾患数150人に対し喫煙者も6割。次に非喫煙者数100人に対し、肺疾患なしは4割。肺疾患なし100人に対し非喫煙者も4割。 この結果から肺疾患は喫煙に起因しているとおもうが相関は弱いと考えられる。,3,賛成,どのくらいから遊ぶ時間が長いかは明確に分からないが、今回は2時間くらいから長いことに設定する。テレビゲームをしない人は暴力経験が少なく少ないから中の下含め、約7割近くいるが、一時間遊ぶと、暴力経験が少ない人と暴力経験がある人の割合は約同程度になる。 そして二時間を超えていくと、暴力経験がある人が5割を優に超えていく。なので「テレビゲームで遊ぶ時間が長くなると、暴力をふるうことにつながる」と主張する人に賛成。,2,反対,町の一日当たりの車走行数は一年ごとに緩やかに増加していて、それに比例するかのように１リットルあたりのPCB濃度も右肩上がりに増加している。このまま一日当たりの車走行数がさらに増えていけば河川がより一層汚染されるので反対である。,0,賛成,1950年より少し前から1970年までは死亡数より出生数が上回っていたが、1970年代前半から2020年代前半まで出生数が死亡数を上回ることが無かったのが分かる。さらに出生数も100万人を50年近く下回っていることも分かる。そのため「ドイツには十分な数の子どもがいない」と主張する人に賛成。,1,反対,犯罪件数は2000年と2001年、2005年と2006年などを比較してみると増加して見えるが、2001年と2002年、2004年と2005年を見てみると減少しているのもある。なので今後も犯罪件数が増加するかは予想がつきにくい。,3,はい,非活動的な生活を送っている人の16人に対し、皮膚アレルギーを起こしたのは13人と約8割を占めている。活動的な生活を送っている人14人に対し、皮膚アレルギーを起こさなかった12人は約８割を占めている。もちろん例外もあるかもしれないが、非活動的な生活を送っている人の方が皮膚アレルギーを引き起こしやすい。,1,1,1,0,1,0,1,,,,,,,,,
大学,1911140023,1613,いいえ,喫煙者と非喫煙者で30%程しか肺疾患持ちも数値が変わらないのに喫煙にのみ起因しているとは考えにくい。そもそもデータを取ってる人数が喫煙者のほうが多く、一目ではわかりにくい。,3,反対,テレビゲームだけでなく、別の娯楽でも起こりうることではあるのでテレビゲームを長時間やる＝暴力を振るわれるというのには繋がらない,4,賛成,車の走行数が多ければ多いほどその地域に人がいるということ。近くの河川の汚染状況も仕方ないが栄えるとどうしてもPCBの濃度は高くなってしまう,1,反対,死亡数は前年代を通した年齢の人間で年齢もバラバラだが、出生数は生まれた子供のみをデータに取っているのでこれではドイツには十分な数の子供がいないということにはならない,4,賛成,直近二年では増えているが、それ以前から530近い数字の年もありそのころから増やしておけばよかったのではという話にはなる。それはそれとして市内のパトロールの?数を増やすべきであるという主張には賛成なので増やす。,2,はい,データから非活動的な生活をしている人は皮膚アレルギーをもっていると言う割合が圧倒的に高いのに対し、活動的な人は皮膚アレルギー持ちが少ない,1,0,0,1,0,1,1,,,,,,,,,
クラウドワークス,rssk,308,はい,人数が喫煙者の方が多いから。。,1,賛成,数値が実際多くなっておるから。。,0,賛成,数値が実際増えているのがわかるから。,0,賛成,昔に比べるとだいぶ減っているから。。,0,賛成,直近の件数が多いから。。,0,はい,数値が大きく違うから。。,0,1,1,1,1,1,1,100,20,24,知らなかった,知らなかった,知らなかった,44,女,高等学校
クラウドワークス,nekonekonekono1,270,はい,比べてみると数が多いから,1,賛成,時間が増えるほど暴力が増えているから,1,賛成,交通量が増えているから,0,賛成,死亡数が出生数を上回っているから,1,反対,上がったり下がったりしているのでこれでは不十分,2,いいえ,合計数が少ないのでそうとはいえないから,2,1,1,1,1,0,0,50,1,24,知らなかった,知らなかった,知らなかった,36,男,大学(学部)
クラウドワークス,振内山,518,はい,タバコを吸えば肺はどんどん黒くなってくるので肺疾患は比例して起こりうるとおもうので,0,反対,全く根拠がないとおもいますし、ゲームをしない人でも暴力的な人は多いので,3,反対,車が走っているだけでは川は汚染されないので,1,反対,死亡者数のほうが出生数が多いのは普通に当たり前のことだとおもうので,0,賛成,大幅でなくてもいいので増やしたほうが犯罪者への威嚇にはなるとおもいます。,0,いいえ,あまり因果関係はないとおもいます。私も活動的ではありませんが皮膚アレルギーはありませんので,3,1,0,0,0,1,0,100,10,12,知らなかった,知らなかった,知らなかった,51,男,大学(学部)
クラウドワークス,みかん大好きっ子,415,はい,たばこは肺がんになるリスクが高いというのは昔から言われているから,0,賛成,テレビゲームの時間が多くなるとどうしてもコミュニケーション不足になるしゲーム依存症にもなるから家族からゲームするなと言われたら暴力に発展すると思う,0,反対,河川の汚染と都市化の因果関係が説明できていないから。交通量と都市化の因果関係もわからない,2,反対,出生数も少ないけど死亡数も多いから相殺したらそれ程の問題を感じない,2,賛成,パトロールを増やせばそれだけ目が行き届くようになるので犯罪自体は減る可能性が高いと思う,0,はい,活動的な生活の方が免疫力が強い気がするから,0,1,1,0,0,1,1,100,5,12,知らなかった,知らなかった,知らなかった,50,女,高等学校
クラウドワークス,kamula10299,403,はい,喫煙者が非喫煙者より肺疾患にかかっている人が多いから。,1,反対,テレビゲームの全てが暴力的な内容を含んでいるわけではないからです。,3,賛成,賛成です。その理由としては、年々交通量が増えているからです。,0,反対,出生数が下がっているからと言って、子どもの数が不十分ということには繋がらないからです。,3,反対,パトロールの必要性は、犯罪の内容にもよるので一概にパトロールを増やせば解決するわけではないからです。,4,はい,非活動的な生活のグループが活動的な生活のグループより、皮膚のアレルギーがある人が多いから。,1,1,0,1,0,0,1,50,5,47,答えを知っていた,知らなかった,答えを知っていた,30,男,大学(学部)
クラウドワークス,po_techi,613,いいえ,非喫煙者の肺疾患の割合も高い為,2,賛成,時間の増加とともに赤ゲージの割合が増えているため,1,賛成,交通量と汚染が進んでいることから人の流入が増えていることがわかるため、都市化が進んでいるといえる,1,反対,比較対象がない為わかりずらい,2,賛成,犯罪抑止のため,0,はい,データが非活動的な生活が皮膚アレルギーを引き起こすことを指し示しているため指し示しているため,0,0,1,1,0,1,1,50,5,47,知らなかった,知らなかった,知らなかった,32,男,大学(学部)
クラウドワークス,66546,514,はい,肺疾患は喫煙に起因していると考えられるデータである。,1,賛成,グラフより「家庭でのテレビゲームのプレイ時間と暴力をふるった経験」のデータを読み取るに、「テレビゲームで遊ぶ時間が長くなると、暴力をふるうことにつながる」と主張することは正しい。,1,賛成,車両走行数、PCB濃度共に上昇しているため,1,賛成,死亡数に対して、出生数の割合が少ない,1,反対,目に見えて、犯罪件数は増えてない,2,はい,「非活動的な生活が皮膚アレルギーを引き起こす」と考えて良いデータである。,0,1,1,1,1,0,1,50,5,47,答えを知っていた,答えを知っていた,答えを知っていた,46,男,大学(学部)
クラウドワークス,森野きのこ,661,はい,喫煙者が一番肺疾患ありの割合が高いから,0,反対,ゲームをする時間だけを見て判断するには情報が少ないと思うから,3,賛成,都市化が進んで交通量が増えたので川の汚染も増えたのかなと思いました,1,反対,まずドイツにはどのくらいの子供が必要なのかがわかりませんが、２０１０年から出生率が上がっているので２０２０年以降もまた上がる事があるのではと思いました,2,賛成,パトロールの人数を増やす事で犯罪が減るかもしれないという状態を一度作った方が良いと思いました,0,はい,アレルギーありの割合が非活動的な生活の方が高いから,1,1,0,1,0,1,1,100,100,24,知らなかった,知らなかった,知らなかった,39,女,高等学校
クラウドワークス,Kei_0209,666,いいえ,確かに喫煙者の肺疾患の割合は非喫煙者に比べて多くはなっているが、肺疾患の原因が喫煙であるという理由にはなっていないため。,3,反対,暴力をふるった経験が「少ない」以外の統計で見た時、遊ぶ時間が長くなるにつれ暴力をふるう割合が増えているとは言いづらいから。,2,賛成,数年前に比べて確実に交通量も汚染状況も増えているため。,1,反対,死亡数には大人も多く含まれているため、このグラフからは子供の数が減っているかどうかはわからないから。,4,反対,確かに昨年と比べて犯罪件数は増えて入るがその増加数はそこまで大きなものではなく、5・6年前から大きな変化は見られないため。,2,はい,活動的な生活に比べて日活動的な生活の方が圧倒的に皮膚アレルギーを持つ確率が高いから。また、逆の活動的な生活での皮膚アレルギーなしの確率も高いため。,1,0,0,1,0,0,1,50,5,47,知らなかった,知らなかった,答えを知っていた,23,男,大学(学部)
クラウドワークス,mitubati555,358,はい,データ的にも喫煙と関係があると思える,1,賛成,長ければ長いほど暴力的になっているといえるから,1,反対,河川の汚染状況と交通量からは都市化は読み取れないから,2,賛成,ピークに比べてかなり減っているから,0,賛成,犯罪件数に関係なくパトロールを増やすべきだと思うから,0,はい,このデータを見ると非活動の方がアレルギーを引き起こすと思う,0,1,1,0,1,1,1,100,5,12,知らなかった,知らなかった,知らなかった,35,男,大学(学部)
クラウドワークス,miikhuwaamsuk,556,はい,喫煙は呼吸器に悪影響を与えると思うからです,0,賛成,ゲームをするとイライラする事があるからです,0,賛成,人が多くなれば都市化が進んでいると言っても良いと思うからです,0,賛成,出生率が下がっているからです,0,賛成,パトロールをすれば犯罪が未然に防げると思うからです,0,はい,非活動的だと抗体がなくなると思うからです,0,1,1,1,1,1,1,50,5,47,知らなかった,知らなかった,答えを知っていた,52,女,高等学校
クラウドワークス,taninana ,297,はい,人数としては喫煙者の方が多いから,1,反対,ゲーム等の内容にもよる,3,反対,関係なさそう,1,反対,なぜ死亡数が上がっているのかがこれではわからない。,0,賛成,抑止力はあると思うから,0,いいえ,関係ないと思う,2,1,0,0,0,1,0,100,10,16,知らなかった,知らなかった,,33,女,大学(学部)
クラウドワークス,sptaju5066,739,いいえ,共に割合で言ったら60％なので、喫煙の有無での判断はできない,4,賛成,全ての時間帯において、遊ばない層より多いので賛成です,1,賛成,上がり幅が両方の図で比例しているので賛成です,1,反対,死亡数の方が早く多くなり、出生数の下げ幅より大きいことから反対です,2,反対,発生件数でいったら極端な右肩上がりではないので、上がり続けるという根拠は無いので反対です,3,はい,割合で言っても明確に違いが出てるので賛成です,1,0,1,1,0,0,1,50,100,47,知らなかった,知らなかった,知らなかった,42,男,大学(学部)
クラウドワークス,shira17ka,641,いいえ,割合として喫煙者と非喫煙者とで違いがないため,4,反対,割合だけで全体数がわからない表なので、主張は難しいと思います。,2,賛成,走行数も汚染状況も顕著にグラフが伸びているからです,1,反対,出生数が横ばいなので、変化はないと思います。,2,反対,2003年から2004年の増加から2005年の減少が見られるため、この先増えるとも限らないと感じます。,3,はい,アレルギーがある人の割合が、非活動的な生活を送っている人に多く見られるため,1,0,0,1,0,0,1,50,5,47,答えを知っていた,答えを知っていた,答えを知っていた,44,女,高等学校
クラウドワークス,jack the rip,583,はい,喫煙していてもあまり関係ないと思うから,0,賛成,TVゲームは目も悪くなるから,0,反対,川は綺麗な方が良い,0,賛成,人口が増えた方が楽しくなるから,0,賛成,犯罪はダメだから,0,はい,アレルギーは苦しい,0,1,1,0,1,1,1,50,5,47,答えを知っていた,答えを知っていた,答えを知っていた,44,男,短期大学
クラウドワークス,CWU19,581,いいえ,喫煙者と非喫煙者の肺疾患の割合がほとんど同じなので。,3,賛成,プレイ時間と暴力をふるった経験が比例しているので。,1,賛成,交通量や河川の汚染が増加しているので。,1,賛成,出生数80万人ぐらいは少ないと思います。,0,反対,それほど増えているとは思わないので。,2,はい,非活動的な生活の人の皮膚アレルギーが多いので。,0,0,1,1,1,0,1,50,5,47,知らなかった,知らなかった,知らなかった,46,男,大学(学部)
クラウドワークス,otamesi,271,はい,それなりに違いが出ている,0,賛成,明らかに比例している,1,賛成,長年にわたり比例しているから,0,賛成,死んだ人間のほうが多いから,1,反対,平均で考えるとそこまで変化はない,2,いいえ,データ数が少なすぎる,2,1,1,1,1,0,0,450,5,47,知らなかった,答えを知っていた,答えを知っていた,46,女,大学(学部)
クラウドワークス,CERU,215,はい,誤差ではなさそうなので,0,賛成,遊ばない人のほうが少ないので,1,賛成,交通量は増えているのが理由,0,賛成,子供の数が減っていっているので,0,反対,それほど増えているのではないので,2,はい,アレルギーのありかなしか顕著になっているので,1,1,1,1,1,0,1,100,2,12,知らなかった,知らなかった,知らなかった,32,男,大学(学部)
クラウドワークス,K.Tominaga1,734,はい,やはり喫煙者に肺疾患が多いので、肺疾患は喫煙に起因していると考えます。,1,賛成,ゲームをすればするほど、暴力的傾向がグラフで見ると顕著ですので賛成です。,1,反対,この町が10年間で都市化が進んでいるというより、車が多くなったからだと思います。,3,反対,1960年代だけが多すぎたので、あまり関係ないと思います。,2,反対,よく見ても、それほど大きな増加は無いようなので反対です。,2,はい,数字を見ても明らかに非活動的な生活が皮膚アレルギーを引き起こしやすいのが分かるからです。,0,1,1,0,0,0,1,100,5,47,知らなかった,知らなかった,知らなかった,55,男,高等学校
クラウドワークス,Work1216,422,いいえ,完全に喫煙が起因しているとは言い切れないデータ数,3,賛成,影響がないとは言い切れない割合。,1,賛成,グラフが上昇し続けている。,0,賛成,出生率は減っているのに死亡率が上昇してる。,1,反対,増えてはいる年もあるけれど減っている年もある。,2,いいえ,調査結果が少ない。,2,0,1,1,1,0,0,100,100,24,知らなかった,知らなかった,知らなかった,52,女,短期大学
クラウドワークス,mahiyo,715,はい,非喫煙者よりも喫煙者のほうが肺疾患になっている人が多いので単純に起因していると思いました。,1,賛成,ゲーム時間が増えていくにつれて暴力経験が増えていっているからです。,1,賛成,10年の間に交通量も河川の汚染状況もかなり増加しているからです。,1,賛成,死亡数が増加しているのに対して出生数が減っていっているからです。,1,賛成,大幅に増えているわけではないが過去に比べると件数が多いので増やすべきだと思いました。,1,はい,非活動的な生活のほうが圧倒的に皮膚アレルギーを起こす確率が高いからです。,1,1,1,1,1,1,1,100,5,47,知らなかった,知らなかった,知らなかった,44,女,短期大学
クラウドワークス,riramohu,629,はい,非喫煙者に比べると多いのでそう思いました。,1,賛成,遊ばない人に比べるとすごく多いからです。,1,賛成,車窓行数が増えていっているので都市化が進んでいると考えます。,0,反対,他の国と比べてはいないからです。,3,賛成,少し増えているので念のためにパトロールの?数を増やしたほうが安心だと思いました。,1,はい,活動的な生活に比べるととても多いからです。,1,1,1,1,0,1,1,50,5,47,知らなかった,知らなかった,知らなかった,45,女,大学(学部)
クラウドワークス,chiyos,841,いいえ,喫煙者も非喫煙者も肺疾患の割合は変わらないから,4,反対,これはテレビゲームとの関係性というよりも、長時間テレビゲームをしている家庭環境そのものに問題がある可能性が高いと思ったから。,4,賛成,交通量の増加や河川の汚染状況から人口が増えた可能性が高く都市化が進んでいるといってよいと思ったから,1,反対,出生数が死亡数に比べて少ないものの、数十年間大きな出生数の変化がないから,2,反対,直近2年間は増えてはいるが過去7年の数字を見る限り極端に増えたとはいいがたいから,2,いいえ,確かに活動的な生活をしている人は皮膚アレルギーが少ないが、これは因果関係が逆の可能性が高いと思ったから,4,0,0,1,0,0,0,50,5,47,答えを知っていた,答えを知っていた,答えを知っていた,41,男,大学(学部)
クラウドワークス,マックス99,509,はい,肺疾患の方が喫煙者が多いから、肺疾患は喫煙に起因していると言えます。,1,賛成,ゲームのプレイ時間が長くなればなるほど暴力経験が増えているからです。,1,賛成,1日あたりの車の走行数が10年間において増加傾向であり、さらにそれによって河川の汚染状況も10年間で増加傾向にあることから人口がこの10年間で増加して都市化がすすんでいると判断できるからです。,1,賛成,死亡数が年々増加傾向にありなが出生数が年々減少傾向にあるからです。,1,反対,そこまで犯罪件数が伸びているとは言えないので、市内のパトロールの人数を増やすかどうかはこのデータからでは判断できないからです。,2,はい,非活動的な生活のデータでは皮膚アレルギーがあるというのが圧倒的に多いからです。,1,1,1,1,1,0,1,100,100,24,知らなかった,知らなかった,知らなかった,45,男,大学(学部)
クラウドワークス,mwfvf,484,いいえ,パーセントで見ると差はないから,4,賛成,データ的に相関して増えているので,1,賛成,交通量が増えているから,0,反対,十分な子供は死亡数と相関するものではないから,2,反対,対して増えていないので,2,はい,差が明確にあるから,1,0,1,1,0,0,1,50,5,47,答えを知っていた,答えを知っていた,知らなかった,29,男,大学(学部)
クラウドワークス,kuruupu,721,はい,喫煙の方が肺疾患の数多いので,1,賛成,テレビゲームで遊ぶ時間が長くなると暴力をふるう傾向があるので,1,賛成,年々河川の汚染状況と交通量が増えているので,1,反対,出生数と死亡数のデータが合っていないので,0,賛成,直近2年間で犯罪数が増加しているいるので,1,はい,非活動的な生活の方が皮膚アレルギーを起こすことが多いので,0,1,1,1,0,1,1,50,5,47,答えを知っていた,答えを知っていた,答えを知っていた,52,男,大学(学部)
クラウドワークス,りかぽんす,477,はい,たばこの灰がどんどん肺にたまっていくのが原因だと思うから,0,反対,暴力的なのはその人の性格や人間性の問題だと思うから,2,賛成,車通りが多くなっているのは人がたくさん来るところだし汚染状況も年々ひどくなっているから,1,賛成,1970年代以降から出生数より死亡数の方が上回っているので子供の数が減っているから,1,賛成,犯罪数が増加している事は大問題なのでパトロールで少しでも被害を食い止めないといけないから,1,はい,体を動かして日光に当たらないと人間は色々弱っていくと思うから,0,1,0,1,1,1,1,100,100,24,答えを知っていた,答えを知っていた,答えを知っていた,25,女,高等学校
クラウドワークス,toshiynjp,813,いいえ,全体数が少なく、非喫煙者も一定数肺疾患もあることから別の要因も考えるべき。,3,反対,因果関係や理由が示されておらず、無理やり感がぬぐえない。,3,反対,周りの自治体の変化なのか、この街に起因するのか断定するデータが無い。,4,反対,確かに出生数を上回る死者数だが、十分な数の子どもがいないとは言いきれない。,3,反対,４％の差を大きいかのようにグラフを作られており、無理がある。,2,いいえ,全体数が少なく、活動的な生活の定義が無い。,2,0,0,0,0,0,0,50,5,47,知らなかった,答えを知っていた,答えを知っていた,65,男,大学(学部)
クラウドワークス,chojuro_stmt,668,はい,ありとなしでさほど差は見られないため,2,反対,グラフで示す数値が何を表しているのかよくわからないため,0,反対,そもそも交通量と都市化が結びつかないため,2,反対,何を持って十分と言っているのかわからないため,2,反対,誤差の範囲であるため,2,はい,数字の割合から。,1,1,0,0,0,0,1,50,5,47,答えを知っていた,答えを知っていた,答えを知っていた,39,男,大学院(修士)
クラウドワークス,komusubi,845,はい,喫煙者と非喫煙者では喫煙者の肺疾患ありの方が多いためです。,1,賛成,調査結果のデータが参考になるためです。,0,賛成,交通量、河川の汚染状況ともに、年々上昇しているためです。,1,賛成,1990年以降、出生数が死亡数を下回っているためです。,1,賛成,2003年以降、犯罪件数が増加しているためです。,1,はい,非活動的な生活の皮膚アレルギーありが、なしよりも上回っているためです。,1,1,1,1,1,1,1,100,100,24,知らなかった,知らなかった,知らなかった,41,女,短期大学
クラウドワークス,nonayan,899,いいえ,割合で考えたら喫煙が起因しているとは言いがたいと思いました,4,賛成,テレビゲーム時間が長いほど家庭内暴力の割合が大きくなっているので原因の一因だと思いました,1,反対,車輛交通量の増加とPCB濃度の増加は比例しているけど、都市化しているからとは言いがたいと思いました,2,反対,亡くなる人の増加が急激に増えているけど、一概に十分なこどもがいないとはいえないと思いました,3,賛成,警察がパトロール人数を強化することで犯罪の抑制に繋がると思うからです,0,はい,非活動的な生活では皮膚アレルギーの人が多く、活動的な生活をする人は皮膚アレルギーの人は少ないからです,1,0,1,0,0,1,1,100,5,47,答えを知っていた,答えを知っていた,答えを知っていた,58,女,高等学校
クラウドワークス,free612,906,いいえ,喫煙者も非喫煙者も「あり」「なし」の割合に変わりがないから。,4,賛成,ゲームの時間が短い程、全体的な暴力経験のウエイトが少ないと証明されているため。,1,賛成,単純に人口の増加が見て取れるため。,1,賛成,死亡率がやや上回ってきているため。,1,賛成,パトロールを行って、悪い結果になることは無いから。,0,はい,非活動的な人たちの皮膚アレルギー疾患率が高すぎる為、偶然とは思えない。,1,0,1,1,1,1,1,50,5,47,知らなかった,知らなかった,答えを知っていた,39,女,大学(学部)
